keys,en,ru
buttons7_2,Who’s Annie? Did they mention her before?,А кто такая Энни? О ней вроде раньше\nничего не говорили.
buttons7_3,How will we take over the power plant without him?,Как мы без него электростанцию вернём-то?
buttons7_4,"Huh, the game isn’t afraid to kill all the cool\ncharacters...","Хм, игра не боится убивать всех\nприкольных героев..."
buttons8_1,I’m ten hours in and the gameplay\nhasn’t changed at all.,За десять часов геймплей так и не поменялся.
buttons8_2,These action moments are so lame...,Экшен сцены как-то совсем не цепляют...
buttons8_3,"Well, it seems like the game’s ending soon,\nthat’s good.","Так, ну вроде дело к концу идёт, это радует."
buttons8_4,I wonder how they will win?,"Интересно, как они собираются их победить-то?"
buttons9_1,Uh... wait what?,Эм... что?
buttons9_2,Who’s this old geezer?,Что это за дед?
buttons9_3,"The dog’s cute, I like shepherd dogs.","Собачка милая, люблю овчарок."
buttons9_4,How are this grandpa and his dog related\nto the plot?,Как дедуля и его пёс связаны с сюжетом?..
buttons10_1,I don’t understand what’s going on anymore.,"Я вообще перестал понимать, что происходит."
buttons10_2,"Why’s he burying their bodies, aren’t they\nthe enemies!?","Зачем он закапывает их тела, они же враги?!"
buttons10_3,The blaster was so far from the crash site..?,Бластер находился так далеко от места\nпадения тарелки?..
buttons10_4,"Wait a second, where did he get that shovel from?","Так, стоп, дед же с собой не брал лопату,\nкак он их закопал?"
buttons11_1,WHAT THE F..!?,КАКОГО?!
buttons11_2,HE FORGIVES THEM AND GIVES UP!?,ОН ПРОСТИЛ ИХ И СДАЛСЯ?!
buttons11_3,WHAT JUST HAPPENED!?,ЧТО ЭТО ВООБЩЕ СЕЙЧАС БЫЛО?!
buttons11_4,...,...
buttons12_1,And they spent several years making this trash!?,И эту хрень они несколько лет делали?!
buttons12_2,What a pointless game...,Какая же бессмысленная игра...
buttons12_3,"Well, I hope I can return it to the store...","Интересно, примут ли её назад в магазине..."
buttons12_4,Aaaaaaargh!,А-а-а-а-а-а-а-а!
buttons13_1,It’s hard to find such trash as this\npiece of crap game.,"Сложно найти ещё больший мусор,\nчем эта игра."
buttons13_2,After playing this game I regret that I was born.,"Поиграв в это, я жалею, что вообще\nродился на свет."
buttons13_3,It would be more fun to burn 60 bucks that I spent\non this game.,"Было бы приятнее сжечь те 60 долларов,\nчто я потратил на игру."
buttons13_4,The developers might as well have killed\nthe gaming industry with this turd.,"Возможно, сегодня разработчики убили\nиндустрию видеоигр."
buttons14_1,The story was written by some kind of\nderanged idiot.,Сюжет писал какой-то сумасшедший.
buttons14_2,It’s just incomprehensible how one could ruin\nalmost every aspect of the story!,Как так можно было всё взять и слить -\nпросто уму не постижимо!
buttons14_3,The movie The Apartment by Tom Whysaw\nhas better story than this game.,В фильме «Квартира» Тома Уайсоу сюжет\nи то лучше был.
buttons14_4,We all really should just forget this horrible plot.,Об этом сюжете лучше вообще не говорить\nи поскорее его забыть.
buttons15_1,The gameplay is just awful. AND BORING!,Геймплей ну просто отвратительный!\nУНЫНИЕ!
buttons15_2,Why is there any gameplay!?\nThe game doesn’t need it at all!,Зачем здесь вообще геймплей?!\nОн просто не нужен!
buttons15_3,It’s the first time I honestly regret there were\nno QTEs in a game.,"Впервые жалею, что в игре нет QTE."
buttons15_4,Press nothing to win.,Press nothing to win.
buttons16_1,"The developers call THIS «a unique style»,\nI call it «a mistake».","Разработчики называют это «уникальным\nстилем», я называю это «ошибкой»."
buttons16_2,I’ve never seen such a bad art style in a game!,Более ущербной картинки в играх\nя ещё не видел!
buttons16_3,This is what happens when you hire web influencers\nwithout any experience.,"Вот, что бывает, когда нанимаешь бездарей\nиз интернета."
buttons16_4,After ten hours of this crap I wanted to poke\nmy eyes out!,В середине игры уже хотелось выколоть\nсебе глаза!
writing,The developers of this game,Разработчики этой игры
writing_empty,were too lazy to make it good. I am too lazy to write a review. 0/10,"оказались слишком ленивы, чтобы сделать её хорошей. А я слишком ленив, чтобы написать обзор. 0/10"
writing_send,Send,Отправить
tfot_guy,Guy,Парень
tfot_girl,Girl,Девушка
tfot_rebel,Rebel Leader,Боевичок
tfot_old,Old man,Старик
easter_1,"[center][color=black]The game is made for the[/color]
[color=blue][url=itch]""I can't write but want
to tell a story"" gamejam.[/url][/color][/center]","[center][color=black]Игра создана для джема[/color]
[color=blue][url=itch]""I can't write but want
to tell a story.""[/url][/color][/center]"
easter_2,"Hey! You've just clicked on a painting that was\ndrawn by the mother of one of our artists when\nshe was young. Don't forget to call your mom\nafter finishing this game and tell her that\nyou love her, she'll be very happy! :3","Эй! Вы только что кликнули на картинку,\nкоторую в молодости нарисовала мама одного\nиз наших художников. Не забудьте позвонить\nсвоей маме и сказать, что вы её любите,\nона будет очень рада! :3"
easter_3,"[center][color=black]Did you play
""Burn The Kingdom""?[/color]
[color=blue][url=btk]Check it out![/url][/color][/center]","[center][color=black]Ещё не играли в
""Burn The Kingdom""?[/color]
[color=blue][url=btk]Стоит попробовать![/url][/color][/center]"
,,"[center][color=black]Ещё не играли в
""Burn The Kingdom""?[/color]
[color=blue][url=btk]Стоит попробовать![/url][/color][/center]"
